gene	veg exp fp rpkm 	0hr fp rpkm	1.5hr fp rpkm	3hr fp rpkm	4.5hr fp rpkm	6hr fp rpkm	8hr fp rpkm	10hr fp rpkm	spore fp rpkm	MATa/a fp rpkm
YAL028W	6.524367511	31.92262094	54.38870641	67.21197916	60.60632918	36.88223681	64.36588372	67.37402835	65.02920202	66.52358172
YAL029C	39.3519748	13.54640145	16.83068775	25.44612203	41.31683396	32.36796584	11.13600211	12.30907132	12.19323576	9.448582487
YAL030W	448.501314	152.7125381	1010.13913	1075.806747	1413.3547	1304.763737	645.2931868	830.9470961	1258.721685	951.1600389
YAL031C	23.85819855	34.04603414	83.09406793	104.6219546	120.3953757	79.19327657	62.83578357	73.26389151	41.29302285	57.38222599
YAL031W-A	0	0	0	0	0	0	0	0	0	0
YAL032C	61.3173278	160.348165	158.0419112	174.6904277	113.2494063	128.7274604	180.8366248	160.1102452	192.4410688	177.3027621
YAL033W	190.2732847	124.9466221	95.46155711	81.90525406	66.43637089	69.90240668	84.10721712	97.19770247	101.2190037	112.4639788
YAL034C-B	0	0	0	0.607114417	3.163636709	13.39593159	0	0	0	0
YAL034C	14.13044749	2881.38327	647.1518249	882.6426628	464.0709782	213.246911	194.2382525	478.572944	1046.215151	1020.418335
YAL034W-A	49.1985639	28.50634045	191.6302369	157.337074	206.1167902	228.0384474	183.4233646	79.43454026	28.50978797	61.98389243
YAL035W	1390.506314	266.9203671	232.3351543	295.0625525	245.7875106	190.2358701	137.761493	279.0345509	366.4610984	211.9402583
YAL036C	849.4814221	141.7172354	105.5532074	100.6352857	107.1840117	100.8981568	154.5593802	338.9443463	291.4107613	106.4743242
YAL037C-A	0	0	0	0	0	0	0	0	0	0
YAL037C-B	0	0	0.625977424	0.585218487	0.508256389	0	0	0	0	0
YAL037W	2.363071439	0	18.47643041	10.55595712	17.81459139	5.822908975	2.389510333	2.702536022	2.327916154	6.669778372
YAL038W	30516.0004	8213.20414	1704.217029	2648.801073	3905.105019	3402.366103	5609.710122	16819.82007	36940.6835	11993.42467
YAL039C	711.0639499	460.0923349	257.364358	408.388869	337.6296369	296.6930929	387.7287737	408.8396494	464.1678579	438.6297355
YAL040C	29.42396024	48.78090345	22.97203246	27.36235457	26.5271784	9.360437049	14.33584503	14.93379976	24.01225457	36.07568916
YAL041W	50.88386165	50.69690487	87.80176749	103.3897675	88.92660743	60.21591574	55.76205464	45.88593297	87.57797142	66.07097961
YAL042C-A	0	0	0	0	0	0	0	0	0	0
YAL042W	427.4454106	79.90413611	195.9854695	131.9155376	79.07493977	68.95521959	47.24541209	111.1406565	132.6677065	115.236967
YAL043C	128.0212976	142.3456295	216.2216731	278.3786043	359.6179363	252.1058364	105.32384	167.8488909	220.3274377	153.063782
YAL044C	3040.819108	1282.78532	4385.541865	3961.883942	4067.431149	3412.413965	2511.676026	3881.557631	2569.279435	2723.763922
YAL044W-A	367.0810755	178.5561984	594.7989327	608.048439	591.1133513	418.3652482	438.1694237	391.5806406	397.5705597	704.6252223
YAL045C	5.883952982	0	9.201113938	7.885172788	6.536911995	3.163376617	1.019963102	0	13.91140256	1.172292726
YAL046C	542.6312194	43.19142493	354.8470002	358.185241	335.872764	297.037869	244.5644861	280.9545529	204.1041638	172.9783044
YAL047C	26.7266123	13.47314598	53.50913151	47.36096546	28.27861005	24.38370567	23.30522657	38.16118305	35.42447535	22.91317092
YAL047W-A	0	4.751056742	0	0.661080143	0	0	0	0	0	0
YAL048C	29.92488809	34.58000863	54.33737154	53.39018945	59.06603218	27.76687034	32.78316864	49.6851931	48.18508876	47.06126304
YAL049C	298.1842216	384.2704924	680.0058936	648.4409894	456.176902	385.743817	406.8754133	648.0848057	963.0531019	778.40237
YAL051W	24.41840487	53.65736262	97.04020153	136.3574256	123.6526488	83.64638608	52.70470817	53.35317872	60.09103412	31.2345309
YAL053W	143.442148	240.102488	483.1804206	285.8046743	152.2790028	106.1925656	175.408288	310.4048922	353.6482468	366.6591007
YAL054C	45.74052786	35186.64114	64608.35434	75222.30906	52132.46388	18490.63601	7824.301563	17920.57607	18987.88851	45671.55332
YAL055W	54.60015997	39.83805343	33.79694879	31.78111991	68.84348578	452.5495151	691.4526261	398.9457937	179.2929212	88.23505126
YAL056C-A	0	0	2.952419292	1.226746657	1.59812576	1.353403398	0	1.151596106	15.87142835	14.04334173
YAL056W	12.59206941	34.26720368	47.45359633	46.57505396	43.3906921	28.36016737	47.49047713	92.63326722	78.00456795	63.62377095
YAL058W	61.8801813	11.50877099	48.81781492	47.91804513	36.10672331	23.64673142	11.39275556	29.14038841	30.67901096	20.95078843
YAL059C-A	0	0	0	0	0	0	0	0	0	0
YAL059W	281.3809971	146.2242334	107.8270438	93.40754142	95.17956763	161.8894863	290.816319	253.5062805	243.2933719	118.9786006
YAL060W	1435.506226	1789.30294	588.0221534	407.4657608	370.250078	316.0849402	543.39026	1206.904443	688.1226095	1852.994347
YAL061W	34.6029657	3440.099326	778.5633527	517.8350385	876.1644173	1095.760278	838.9119635	555.436792	768.7972345	1207.208198
YAL062W	5.797977413	602.3428787	2553.923576	1975.225964	1990.461986	2211.68054	1344.653685	3085.909473	2703.840953	8629.736549
YAL063C-A	0	0	0	0	0	0	0	0	0	0
YAL063C	33.89016465	2.004921643	1.912486438	3.905614143	5.286213086	6.043586529	11.65566531	37.94916595	34.28830637	14.26739212
YAL064C-A	0	0	0	0	0	0	0	0	0	0
YAL064W-B	0	0	0	0	0	0	0	0	0	0
YAL064W	0	0	0	0	0	0	0	0	0	0
YAL065C	324.6743463	43.55135347	45.07906863	92.55121999	106.9338501	234.6024538	338.62775	819.1686964	662.8525702	219.8265952
YAL066W	0	0	0	0	1.867689142	0	0	0	0	0
YAL067C	1.531467902	14.153845	77.33383982	34.41302207	56.9840417	180.6817115	37.60891823	24.90978614	321.5173954	63.56726671
YAL067W-A	0	0	0	0	0	0	0	0	0	0
YAL068C	0.96706554	0	5.67098359	7.068975785	5.371917778	2.599606527	2.5145625	1.105988339	1.905357117	16.37727759
YAL068W-A	0	0	1.46863934	0	0	0	0	0	0	0
YAL069W	0	0	3.492495992	2.902303066	0	0	0	0	23.46842302	0
YAR002C-A	896.643827	96.20889902	1115.945603	683.9204617	663.4778906	913.7097021	740.3249184	716.0279106	641.7909644	327.9019984
YAR002W	172.2436713	73.18454712	129.9745816	153.7774117	124.6107828	72.96145665	55.35261298	76.68965681	111.3937725	116.7603555
YAR003W	52.55656676	16.80963565	78.33945964	76.74701904	303.3709958	378.6802756	195.5221652	73.28055906	63.83180414	40.16326725
YAR007C	202.6484232	154.8434108	1536.265059	1260.708384	881.4406882	425.8971647	166.6419783	210.0495993	191.8017297	238.4018887
YAR008W	59.51986188	6.681173543	286.757568	137.5873047	107.4833214	42.56347952	29.43151343	37.52583872	46.60682134	38.76808679
YAR009C	6.394550185	4.391220609	2.328330661	4.429830995	5.273404707	13.81896101	6.846453225	6.739572074	10.1284773	23.23216316
YAR010C	45.84680099	47.99536913	57.47175377	55.55096914	71.57728054	29.4710495	34.12192889	26.21643787	73.63816407	281.475857
YAR014C	85.64136202	35.94277709	146.2360375	139.2579692	116.8253092	85.99799795	86.12923206	120.7707209	145.3069519	128.7466239
YAR015W	1032.209366	862.6396056	384.1745591	375.6409397	292.4820719	201.723126	294.3819638	382.2095312	580.6758382	658.3873704
YAR018C	39.91470028	12.33447423	12.62111933	15.58941394	32.04703147	25.24617877	7.733085637	14.23162399	3.238191061	17.54212072
YAR019C	12.78450517	42.98338246	72.6707351	97.06456296	121.4173955	46.32607715	32.62173089	28.77422646	25.18862157	38.71634825
YAR019W-A	2.056286726	4.501001124	6.029150975	5.63657806	4.079426283	4.145688303	2.673376974	0	0	4.096854579
YAR020C	0	0	0	0	4.306061076	0	0	0	0	0
YAR023C	20.75564414	320.6963301	79.35241934	89.61767686	79.93125873	66.46056562	62.96359726	54.45610084	96.22053439	77.23211015
YAR027W	48.38461707	1144.212832	161.7543051	96.68297089	72.48536145	60.1700594	92.49554282	67.22975413	103.3479814	94.59751024
YAR028W	77.23030379	51.7091757	50.61682563	28.2265847	180.6142269	432.9191251	356.3466439	116.3808381	27.74731689	22.17541635
YAR029W	0	0	1.735664675	2.163535013	4.227769057	4.773822895	0	8.123987072	0	0
YAR030C	0	0	0	0	0	0	0.891125658	0	0	0
YAR031W	5.406288902	1.577841722	3.874823351	6.586407327	6.578263047	11.14185602	4.998195572	3.297559328	4.970802514	2.872333469
YAR033W	30.89212152	5.96644335	17.76028969	15.77367969	20.54892402	11.60149983	20.08141308	16.62583401	23.2719432	16.29214263
YAR035C-A	0	0	0	0	0	0	0	0	0	0
YAR035W	20.61673705	10239.23851	12508.60792	12928.08525	7321.477038	2427.503235	1882.096076	3438.769408	1771.725409	9034.507298
YAR042W	44.73920071	144.9723136	133.7932954	186.7438205	255.0235179	157.131525	123.8687553	96.21151642	80.40346024	120.4590996
YAR047C	0	0	0	0	0	0	0	0	0	0
YAR050W	8.186680985	0.372037506	1.965710718	1.915368511	4.945476178	9.404348032	21.8517037	35.24792535	23.05051085	15.68995496
YAR053W	0	0	0	0	0	0	0	0	0	0
YAR060C	0	0	0	0	0	0	0	0	0	0
YAR061W	0	0	0	0	0	0	0	0	0	0
YAR062W	0	0	0	0	0	0	0	0	0	0
YAR064W	0	0	0	0	0	0	0	0	0	0
YAR066W	81.21773795	55.7732748	16.08319712	19.40126506	15.16482379	10.70218448	3.220644361	4.249639977	3.137626121	11.10492512
YAR068W	16.50821738	3.011233146	0.672264487	0.837988913	0.545838728	0	1.192351232	0	0	2.740853415
YAR069C	0	0	0	0	0	0	0	0	0	0
YAR070C	0	0	0	0	0	0	0	0	0	0
YAR071W	0	4.772266817	4.474760489	1.859287902	1.38409106	3.809468047	2.26759654	9.474962601	2.577335742	0.651564484
YAR073W	0	0	0	0	0	0	0	0	0	0
YAR075W	0	0	0	0	0	0	0	0	0	0
YBL001C	1158.294217	754.5796002	2254.015825	1436.332715	1268.413614	1147.54278	1242.963035	3627.121287	4016.358306	4649.809451
YBL002W	2759.279751	309.2428897	9005.775111	4659.375482	2940.501458	1061.962477	536.6645145	543.5636439	721.6540079	339.6822842
YBL003C	3656.277969	177.8492922	3548.973464	1523.760478	963.0334117	479.8114472	185.7957566	283.7104777	487.063236	427.9490906
YBL004W	57.16709823	28.34502729	13.50507073	28.54615669	23.99837111	28.12387579	51.56750396	30.47726557	32.90322235	17.61945542
YBL005W-A	0	0	0	0	0	0	0	0	0	0
YBL005W	20.82070886	12.51061963	27.93023614	38.3592271	25.43140774	10.15123259	8.403771225	10.38843174	20.10878462	22.26621199
YBL006C	380.9877829	87.64371754	240.729144	305.9856661	201.7162276	193.250874	158.7974852	159.5783175	166.1447737	178.8875012
YBL006W-A	13.02314927	0	3.182051904	9.916202142	2.583636646	4.37600432	0	0	0	3.243343208
YBL007C	231.067877	365.1138626	275.2409957	415.9947984	324.0829445	226.76633	187.2127703	253.5015558	352.0493348	425.9767255
YBL008W-A	1.627893658	0	1.591025952	0	0	4.37600432	4.232846875	3.723494075	0	0
YBL008W	31.88371501	15.62466894	49.30048747	57.10572927	47.10967185	37.73704091	32.48104179	22.72193096	36.56614705	24.29544547
YBL009W	61.69642632	29.93816577	176.3931968	134.9327963	325.8449505	399.4352802	329.7368387	82.29091928	31.04833073	74.49322529
YBL010C	63.99306105	9.829772569	204.8217317	138.142954	596.6121864	691.1068892	337.3303257	106.5689683	15.48376415	64.12126803
YBL011W	71.49443169	18.03462355	19.09231142	14.97548895	9.596364684	18.39707939	12.20902772	16.26179045	28.277055	22.90197449
YBL012C	0	0	0	0	0	0	0	0	0	0
YBL013W	34.26247386	25.74525512	154.437807	203.567689	133.916245	65.29639954	52.74437467	53.22062211	41.8131118	47.88600967
YBL014C	9.365963514	4.88122268	2.942308267	1.765899012	1.592652727	1.948221102	2.029447132	5.738261417	5.052676463	5.553669877
YBL015W	260.2703352	12006.3983	10966.78184	11932.41834	9619.689485	5135.20223	3909.747912	2428.423177	824.4220934	5186.278513
YBL016W	127.2096541	97.29709016	259.232432	192.0299265	222.7806449	130.1009668	169.5673389	169.5639068	235.6538836	582.9278227
YBL017C	110.5089349	169.1193467	70.1887218	43.36431475	27.72440862	35.51295814	26.4824266	44.61032324	58.47247859	31.37310834
YBL018C	92.53290268	22.50500562	98.81108543	55.84387522	36.71483655	43.7600432	73.51786677	50.95307681	79.33973888	67.42739828
YBL019W	15.59658595	43.5276456	42.68141475	37.28967033	34.5000582	24.63140156	12.84217016	18.72895223	36.49082142	30.4913104
YBL020W	45.05305692	9.245299606	56.07291462	36.98475394	25.83636646	13.48282412	17.99913266	24.152394	41.60887973	22.08979699
YBL021C	121.8966771	71.83597794	241.3268164	328.4246149	350.3411292	366.5341219	344.045794	179.6213542	92.37171301	102.7491128
YBL022C	185.6149484	143.1714316	196.4931333	264.2124883	344.2684234	337.9815186	199.1033898	166.855318	189.3316081	121.1449829
YBL023C	83.17788798	23.16769719	243.8823526	173.4459385	149.9057022	105.7663235	49.25857141	51.57631369	51.45361909	75.41059474
YBL024W	398.6497954	62.55916343	91.57398238	113.5203232	94.10984162	72.07536528	56.18258295	112.5472417	116.1032089	58.26277166
YBL025W	63.56537142	50.90417938	123.4939191	131.7438285	107.6515269	103.1486733	84.6569375	67.37751183	99.27515452	123.5559317
YBL026W	526.9234736	213.7975534	213.5324304	219.9831159	266.182565	583.8511027	639.3826595	398.3158793	308.9185578	266.2955476
YBL027W	11504.80328	897.9497242	1191.584848	1360.386273	1133.91253	1369.174528	1055.721809	3115.907453	4343.508123	2634.54861
YBL028C	482.7546711	186.7656788	176.6587436	108.7362856	84.63637288	126.7532286	232.5633111	216.9898271	163.6855068	211.3765056
YBL029C-A	156.2777912	2730.907415	1269.002299	1414.447074	1103.729575	756.1735466	698.7019241	807.2535154	977.6006294	1581.454148
YBL029W	59.64383488	44.31657969	108.0293251	89.16248985	120.931564	79.06226293	77.78004341	43.80581264	16.710569	193.782943
YBL030C	7810.296216	3130.453808	9757.512068	10835.05932	7945.589983	4450.791551	4078.255945	3670.94175	2769.47799	2499.543731
YBL031W	26.02588607	0	64.93779903	51.29070074	29.64297844	27.57294258	9.819143221	17.15842097	9.048953077	13.42073052
YBL032W	379.3621796	96.8585601	678.2517262	1101.027152	1111.891583	816.3303087	463.5084257	312.896933	320.5579129	195.4069485
YBL033C	310.9975983	567.94074	750.2224212	840.2612515	660.2538925	634.6548597	834.3642337	403.9876853	556.0720453	753.9280624
YBL034C	24.12420723	15.45524482	195.2041881	232.4931249	190.5042924	96.65872997	47.54161349	37.45924762	30.39899078	37.96925884
YBL035C	69.05496422	19.94612743	563.1675242	280.2266687	257.1584696	170.3197017	73.79715543	60.08612158	54.98316251	70.06756027
YBL036C	327.904294	201.2212267	279.5659887	278.9869309	224.0599175	177.0626958	179.9849175	188.677893	201.3354039	214.2241817
YBL037W	50.39026692	55.25582891	68.417279	66.89000769	48.07721472	32.36329239	65.30197167	81.72440275	86.27328232	70.41214281
YBL038W	357.6780432	281.048427	173.8924139	193.0167797	176.4878554	314.9490433	437.5929023	365.5317423	300.8585723	178.6122809
YBL039C-A	854.6441706	53.44938835	59.66347319	22.31145482	38.75454969	32.8200324	52.91058594	69.8155139	0	48.65014813
YBL039C	713.5406739	212.270428	62.22047919	38.14196324	21.73022965	37.74303726	55.93404799	75.79970081	29.89709461	21.02381401
YBL039W-B	51.27865024	374.1457184	525.0385641	295.9986339	296.4723051	282.2522787	713.2346984	857.3345107	914.0950767	997.3280366
YBL040C	208.0448095	177.4519693	374.2093039	250.7807522	152.6929258	101.0856998	85.50350687	109.4707258	96.22053439	106.0573229
YBL041W	739.5916864	876.3773585	1319.691526	1807.160839	1753.381518	1112.924342	522.8137897	496.1304267	742.0250219	825.2993596
YBL042C	49.78203832	80.00166514	19.24628167	15.45008269	45.50534221	81.52072565	139.41086	104.6782286	58.66348709	24.48201002
YBL043W	21.75084804	150.91592	1039.648555	1330.687664	889.7263004	313.3072001	314.795755	380.171874	632.3063688	769.8170497
YBL044W	0.939169418	0	0	0	0	0	1.628018029	0	0	0
YBL045C	2011.675163	1331.597547	2628.244103	1961.23461	1211.300879	955.2277924	1318.754074	1061.195811	853.2432775	1434.846149
YBL046W	64.36034324	83.33640132	211.5215476	176.6970591	169.7647095	129.7571583	85.04977711	86.046406	89.74629889	73.59604774
YBL047C	282.6941322	415.6651405	575.5729126	990.74654	733.0926712	266.8977084	124.1883709	300.5860305	383.1866215	436.0653512
YBL048W	1.162781185	0	2.272894217	0.708300153	0	1.562858686	6.046924107	0	0	1.15833686
YBL049W	5.745507029	521.0192477	1608.406908	1321.438097	1367.807636	1023.764372	1062.124434	1673.694942	2461.305098	2640.190392
YBL050W	309.1209057	800.3703281	559.8313294	585.3828342	946.0084949	1544.585261	1209.384821	685.77759	781.0428725	582.7325435
YBL051C	123.8603834	162.0776522	141.9420687	188.2092111	240.1707224	287.0362156	338.62775	181.7569989	174.9464262	249.3226389
YBL052C	7.698413359	1.053189918	10.81584145	10.18486772	9.640910144	11.31725255	7.61078379	15.82026423	15.16776897	10.06554789
YBL053W	0	0	0	0	0	0	0	0	0	0
YBL054W	86.28479825	188.4460648	67.53999495	81.36772983	87.00626175	50.59214481	103.0606196	130.2487058	146.4225523	114.2220869
YBL055C	141.7369065	210.0467191	113.6447108	108.8545498	88.97034465	54.2887754	47.31452898	52.63284857	60.77086382	108.0301535
YBL056W	422.8897913	219.0353554	437.7624634	721.7846735	985.6947827	723.356438	455.525971	294.8111678	175.7256975	268.0633997
YBL057C	199.8552522	78.9406351	143.9266553	144.9291082	249.6190482	289.4895166	219.6738993	107.1220603	135.2021868	81.83204403
YBL058W	349.2133359	663.0363631	798.3414665	1146.900594	770.8806229	439.5453228	301.4205034	499.7756491	692.3126844	651.7918611
YBL059C-A	417.826039	128.278532	175.0128547	152.0484328	195.4951729	224.6348884	196.5922215	170.0395627	119.7411095	124.3281563
YBL059W	61.74769049	39.31909028	80.64855687	81.72318317	89.53637342	78.46628436	67.62824317	46.22268507	63.04103977	42.49897997
YBL060W	8.334425616	8.321461659	12.28996094	14.51803248	37.59423383	68.19491763	39.7938299	15.71894205	31.40131212	31.17105299
YBL061C	71.12717048	27.15892111	103.0759206	103.7905589	76.02074148	67.0944237	59.39740814	88.76985874	50.02899277	83.79035851
YBL062W	0	0	0	0	0	0	0	0	0	0
YBL063W	11.80670126	12.13868893	49.3043207	52.3597267	58.69965676	45.80378148	47.2900475	13.7073683	9.163860418	9.444900552
YBL064C	280.9125586	1924.17798	6713.472068	8528.015794	5911.189827	2366.839692	2328.415603	3141.582728	4034.900756	4930.149722
YBL065W	0	0	0	0	0	0	0	0	0	0
YBL066C	16.00497751	68.17282482	65.52941254	87.37500346	72.77205079	40.46544296	58.18758503	63.61930974	67.84016419	49.21033584
YBL067C	26.43091077	70.48270991	56.25413187	49.44479914	41.62920035	37.50860846	52.09657692	114.773636	94.10579737	126.5705777
YBL068W-A	170.5149629	43.48424815	139.1473544	158.3230918	133.998782	75.65295605	134.8771547	96.55840567	78.28111272	65.96630254
YBL068W	257.0693308	201.9586009	104.1681486	118.0254157	81.54866156	98.78081414	186.6864713	182.6573966	150.4425293	133.1144118
YBL069W	159.3747596	31.28744684	127.8253533	161.0778202	115.8855559	119.7530938	173.030521	171.6439952	108.4241144	102.0466522
YBL070C	0	0	0	0	0	0	0	0	0	0
YBL071C-B	7.513355346	0	0	0	0	0	0	0	0	0
YBL071C	0	0	0	0	1.867689142	0	2.039926205	0	0	0
YBL071W-A	303.8734829	135.7444783	313.6594019	375.8712812	321.109126	366.7508383	424.6284484	345.7530212	577.3232063	429.3568628
YBL072C	3780.130965	191.3547163	245.7739537	250.8086929	249.2281538	330.0135855	317.5804451	747.9903014	1393.868736	544.0215459
YBL073W	0	0	0	0	0	0	0	0	0	0
YBL074C	16.86032718	2.545208969	17.04670663	22.13437978	10.38068295	3.907146715	2.015641369	13.29819312	6.872895313	11.29378439
YBL075C	12.09292432	1295.681046	355.4806555	1134.791285	6839.255292	9119.176241	6918.621811	8869.894814	7821.049404	2001.760539
YBL076C	1022.372872	136.8466771	225.6446492	169.6772367	181.6642519	238.7478141	244.725278	272.6319023	208.5235133	271.5722419
YBL077W	0	0	0	0	0	0	0	0	0	0
YBL078C	120.59702	4738.451898	8828.245837	11331.18348	12283.61043	25880.93984	32488.39553	23581.11594	4797.280929	5114.222714
YBL079W	48.54042992	30.56310271	27.74371619	26.92018194	41.75979123	54.70743095	48.12258821	39.5448629	28.8077662	27.42516779
YBL080C	31.24807367	10.64892028	47.9136551	45.24979598	32.36970051	25.65243912	16.37998216	36.59295901	28.0182399	19.38549964
YBL081W	77.75152147	41.18479782	44.07998246	57.8117394	59.94329782	24.54529335	20.62463633	16.77154555	15.80960622	25.0830792
YBL082C	83.65667638	11.68824893	135.9076838	127.2616922	115.2925783	45.45462346	22.75516771	44.78371006	55.23365527	51.19901693
YBL083C	52.0392235	17.52438962	92.33166999	92.17191171	72.42653548	19.36919945	10.40863986	21.05910583	31.54771619	24.72384577
